landuse_group,area_m2,ratio,parcel_count,building_count
미분류,12377875.4,36.6,11629,0
공동주택,5881266.6,17.4,6119,7164
기타,5274326.5,15.6,1916,232
공원/녹지,2317186.3,6.9,769,0
근린생활시설,1970051.6,5.8,3837,3892
교육연구시설,1736063.0,5.1,182,317
운동시설,1020139.9,3.0,48,18
단독주택,962992.0,2.8,5723,5816
판매시설,599819.8,1.8,22,24
의료/노유자시설,433095.3,1.3,151,167
하천/수공간,403887.1,1.2,258,0
업무시설,398152.6,1.2,323,309
도로/교통시설,301958.7,0.9,126,0
위락시설,129669.3,0.4,6,6
숙박시설,19087.9,0.1,44,44
